이닝,스코어 상황,O 카운트,B 카운트,S 카운트,키,몸무게,키구간,몸무게구간,주력,투수 손,도루 성공 여부
3,-1,0,1,2,183.0,75.0,180–184,70–79,6.9,1,1
4,+0,2,1,2,185.0,105.0,185+,100+,4.9,1,1
5,+0,1,2,2,174.0,65.0,170–174,<70,5.1,1,1
7,+0,1,1,1,177.0,80.0,175–179,80–89,7.0,0,1
8,-3,2,2,2,186.0,86.0,185+,80–89,5.0,0,1
9,-2,1,3,2,176.0,72.0,175–179,70–79,4.0,0,0
1,+3,2,3,2,185.0,80.0,185+,80–89,3.9,1,1
4,+1,1,3,2,181.0,71.0,180–184,70–79,0.8,0,1
4,+3,1,1,0,180.0,75.0,180–184,70–79,6.6,0,1
8,+4,1,0,2,171.0,67.0,170–174,<70,6.2,0,1
8,+2,1,1,0,179.0,85.0,175–179,80–89,4.5,0,0
9,+2,1,2,2,185.0,80.0,185+,80–89,7.8,0,0
7,+1,0,0,1,178.0,74.0,175–179,70–79,6.9,0,1
8,+3,1,0,1,178.0,75.0,175–179,70–79,,0,0
8,+3,1,0,2,186.0,88.0,185+,80–89,6.1,0,1
3,+3,2,1,2,174.0,81.0,170–174,80–89,3.6,0,1
4,+2,0,1,1,163.0,64.0,<170,<70,7.0,0,1
6,+3,2,1,1,185.0,100.0,185+,100+,2.0,0,1
7,+5,0,3,2,173.0,72.0,170–174,70–79,4.5,0,1
7,+5,2,1,2,163.0,64.0,<170,<70,7.0,0,1
3,+0,2,2,2,178.0,82.0,175–179,80–89,6.0,1,1
9,+1,0,1,2,176.0,75.0,175–179,70–79,8.0,0,1
10,+0,1,1,2,183.0,75.0,180–184,70–79,1.8,0,0
1,+0,3,0,0,178.0,88.0,175–179,80–89,6.9,0,0
4,+2,0,1,0,183.0,85.0,180–184,80–89,5.9,0,0
5,-2,1,1,0,175.0,70.0,175–179,70–79,6.6,0,1
5,+5,2,2,2,185.0,80.0,185+,80–89,5.5,0,1
6,-5,2,2,2,175.0,70.0,175–179,70–79,6.6,0,0
1,+0,0,2,0,183.0,88.0,180–184,80–89,6.2,0,1
1,-3,0,0,1,178.0,72.0,175–179,70–79,5.5,0,1
4,+2,1,2,2,182.0,91.0,180–184,90–99,7.3,0,1
3,+0,0,0,2,171.0,67.0,170–174,<70,6.2,0,1
8,+4,0,2,2,171.0,67.0,170–174,<70,6.2,0,1
6,+1,1,3,1,186.0,88.0,185+,80–89,6.1,1,0
8,-1,2,1,0,172.0,76.0,170–174,70–79,9.1,0,1
2,+2,1,2,1,185.0,80.0,185+,80–89,7.8,1,1
8,+4,2,1,1,181.0,83.0,180–184,80–89,7.8,0,1
2,-2,3,1,1,182.0,91.0,180–184,90–99,7.3,1,1
1,+0,3,0,2,175.0,78.0,175–179,70–79,3.1,0,1
4,+1,1,1,1,184.0,83.0,180–184,80–89,3.9,1,1
8,+1,1,1,1,185.0,83.0,185+,80–89,8.0,0,1
1,+0,0,2,1,183.0,90.0,180–184,90–99,6.2,1,1
3,-3,2,0,0,175.0,70.0,175–179,70–79,6.6,1,0
3,+3,2,3,2,181.0,71.0,180–184,70–79,0.8,0,1
3,+0,3,2,2,183.0,75.0,180–184,70–79,6.9,0,1
4,-1,0,2,2,185.0,88.0,185+,80–89,6.4,0,1
5,-1,1,1,0,178.0,94.0,175–179,90–99,1.5,0,0
7,-1,1,3,1,177.0,80.0,175–179,80–89,7.0,1,1
